row_number,title,loren_severity,loren_status,spec_status,audit_verdict,evidence_summary,root_cause,fix_size,recommended_response,dayo_decision,fix_status
11,Platform without manuals,Must Fix,Fail,"In scope per WP1 deliverable 3 — spec explicitly states ""primary goal is intuitive design so users don't need documentation""",Cannot determine without user testing,"Subjective claim. Spec frames this as a design goal not a testable deliverable. Walkthrough formatting issues confirmed from Q10.",N/A,Small + Needs design,"Spec states 'primary goal is intuitive design so users don't need documentation'. This was the design goal pursued through iterative DfT review. Walkthrough formatting issues being fixed (Q10).",,
12,Analytics - search/query,N/A,N/A,"In scope per Monitoring & Evaluation (""Number and categorisation of unique searches"")",Confirmed (close with evidence),"GA4 search_performed event with query text and result count. lib/analytics/ga4.ts lines 12-19.",N/A,N/A,"Implemented. GA4 search_performed event captures every search per spec M&E requirements.",,
13,Analytics - engagement,N/A,N/A,"In scope per Monitoring & Evaluation (""click depth"")",Confirmed (close with evidence),"GA4 events: case_study_opened, filter_applied, chat_opened, heatmap_clicked.",N/A,N/A,"Implemented. Multiple GA4 events capture engagement depth per spec M&E requirements.",,
14,Analytics - support material,N/A,N/A,"In scope per Monitoring & Evaluation (""PDF downloads"") + Dissemination (""website metrics"")",Confirmed (close with evidence),"GA4 events: pdf_downloaded, brief_generated. Outbound clicks automatic.",N/A,N/A,"Implemented. GA4 pdf_downloaded and brief_generated events per spec M&E requirements.",,
15,Security / CPC cyber,Must Fix,Fail,"Process item — not in WP1 spec. Governance item under WP0 (""quality management""). Cyber review is Gate 3 in three-gate deployment.",Cannot determine from code,"Gate 3 item in three-gate deployment. Not a software defect. Spec WP0 covers governance but does not specify a CPC cyber review as a deliverable.",Process/governance item,N/A,"CPC cyber review is a Gate 3 process item. The spec (WP0) covers governance and quality management but does not list a specific cyber review as a WP1 deliverable. Coordinating with Chirag/Adam as part of standard CPC deployment process.",,
16,AI logic outputs accurate,Must Fix,Fail,"In scope per WP1 deliverable 1 (""AI-enabled search""); enumeration accuracy not specified — spec describes ""Intelligent search and filtering"" and ""situation matching"" not ""enumerate all records""",Partially confirmed — by design (not a spec violation),"12-chunk retrieval limit + 600 token cap means AI can only cite subset of 66 measures. Spec describes AI as 'situation matching' and 'personalised relevance' — not 'enumerate all records'.",Architectural: focused retrieval not enumeration,Medium,"AI designed for situation matching and focused retrieval per spec ('help transport asset managers make faster, better-informed decisions'). Enumeration requests should redirect to the Options Table which shows the complete dataset. Improving the redirect behaviour.",,
17,Build Brief Example,Must Fix,Fail,"In scope — brief/synthesis is a Phase 3 deliverable (""AI Brief collector panel"" in Build Spec); brief page architecture detailed in spec",Confirmed,"(1) Nav link to brief lacks IDs → example reloads. (2) 12s timeout too short for gpt-4o with 4 cases.","(1) State management gap (2) Timeout too aggressive",Small,"(1) Include brief IDs in nav link. (2) Increase timeout to 30s.",,
18,Case studies not viewable,Must Fix,Fail,"In scope — spec describes 'View N cases' as navigation from chat to case study deep dive",Partially confirmed,"'View N cases' is a <Link> to /handbook/cases?highlight=IDs. Click issue needs live testing.",Possible z-index or pointer-events conflict in chat panel,Small,"Investigating click issue. Context loss in new tabs is by design.",,
19,Broken external content (HS2),Must Fix,Fail,"In scope — HS2 Learning Legacy is one of the W3 client-requested document sources (spec Item 7 in W3 feedback)",Refuted,"HS2 Learning Legacy URL returns HTTP 200 with valid content as of 2026-05-01. Spec W3 review confirms this was a DfT-requested addition.",Likely transient network issue during Loren's testing,Trivial (none needed),"Link verified working. HS2 Learning Legacy is one of the W3 client-requested document sources. Will add automated link health monitoring.",,
20,Confusing text directions,Must Fix,Fail,Not addressed in spec — text copy is a UI detail not specified at deliverable level,Confirmed,"'Browse all cases below' at line 2080 of handbook/page.tsx appears after marquee at page bottom.",Text positioned below marquee without case cards below,Trivial,"Reword to 'Search or filter above to explore case studies'.",,
21,Manual Filtering - Wales,Must Fix,Fail,"In scope per WP1 deliverable 1 (""hazard-specific dynamic filtering""); geography filter not explicitly specified but filtering is in scope",Partially confirmed,"No case studies tagged with Wales in ukRegion or ukApplicability. 7 mention Wales in free text.",Metadata gap — structured fields not populated from source text,Medium,"Tag 7 cases with Welsh applicability or remove Wales from filter until data populated.",,
22,Manual Filtering 2 - Cost,Must Fix,Fail,"In scope per WP1 deliverable 1 (filtering); cost accuracy is a data quality concern within scope",Partially confirmed,"ID_06 costBand is 'Large programme' not '£100m+'. But cost text uses ÖBB annual budget as proxy.",Data tagging error — annual budget used as adaptation cost,Small,"Correct cost text to 'Adaptation costs not publicly available'. Data quality fix.",,
23,UI Layout,Backlog,Minor,"In scope per WP1 deliverable 1 (""intuitive navigation"") — but subjective; iterated via W1-W3 calls per agile model",Cannot determine without user testing,"Subjective. Multiple entry points confirmed in code. Spec states UI was iterated through DfT review calls.",N/A,Needs design,"Backlog item. UI was iterated through weekly DfT review calls per agile model. Consolidate in post-beta UX review.",,
24,Transfer to other sectors,Backlog,Minor,"In scope — cross-sector transfer is described in spec AI Integration Opportunities (""cross-sector insight"")",Confirmed (by design),"SECTORS excludes case's own sector. 'Highways' = 'Road' in TRIB taxonomy.",Terminology mismatch + expected exclusion,Trivial,"Panel correctly excludes home sector. Add explanatory note.",,
25,Filtering adaptation options,Must Fix,Fail,"In scope — Options Table is a confirmed page in spec (Page Architecture section, W3 feedback item 6: ""Already implemented correctly"")",Cannot determine from code,"Filters operate independently not cascading. Needs live testing to confirm cell-count mismatch. Spec W3 item 6 says 'Already implemented correctly'.",Filter independence rather than cascading,Medium,"Options table confirmed in scope and described as 'already implemented correctly' in W3 review. Investigating specific filter cascade behaviour Loren reported.",,
26,Optimising UI cross-linking,Backlog,Minor,"Not addressed in spec — strategic enhancement beyond WP1 deliverables",Cannot determine without user testing,Strategic recommendation not a defect.,N/A,Needs design,"Agreed as backlog. Not a WP1 deliverable — strategic enhancement for post-beta design sprint.",,
