"ID","Location_Page","Title","What_I_Checked","Sub_Category","Loren_Status","Loren_Severity","Loren_Issue_Short","How_To_Reproduce_Short","Our_Response_Status","Our_Position_And_What_Is_Built","Changes_Since_Lorens_Review","Evidence_How_To_Verify","Spec_Or_Scope_Note","Open_Actions_Or_Reviewer_Check"
"Q11","Contract Requirement","Platform without extensive manuals","Common tasks without manuals","Onboarding","Fail","Must Fix","Complex pages; walkthrough issues","N/A","Linked to Q10 plus subjective","Same as Q3 and Q10; complexity acknowledged; options and cases are dense by nature of the dataset.","Walkthrough fixes reduce friction.","Same as Q10","Design goal in spec not binary test without users.","Sponsor-led light user test if required to close subjectively."
"Q12","Contract Requirement","Back-office analytics search","Unique searches and criteria","Analytics","N/A","N/A","Cannot see GA4","N/A","Implemented","GA4 events including search with query and result metadata.","No change.","lib/analytics/ga4.ts; property G-N2RMWP0E1B","In scope M and E.","Provide Loren or CPC a one-page GA4 event dictionary screenshot export if needed."
"Q13","Contract Requirement","Back-office analytics engagement","Click depth","Analytics","N/A","N/A","Cannot see GA4","N/A","Implemented","GA4 events for opens filters chat heatmap etc.","No change.","lib/analytics/ga4.ts","In scope M and E.","Same as Q12."
"Q14","Contract Requirement","Back-office analytics support materials","Downloads views","Analytics","N/A","N/A","Cannot see GA4","N/A","Implemented","pdf_downloaded brief_generated outbound clicks.","No change.","lib/analytics/ga4.ts","In scope M and E.","Same as Q12."
"Q15","Contract Requirement","Security stable compliant","CPC cyber and gov digital standards","Security stability","Fail","Must Fix","CPC cyber review not evidenced","N/A","Process not code defect","Gate 3 cyber process; coordinate with CPC IT; not a WP1 software deliverable in spec list.","No software change closes governance item.","Email trail with Chirag Adam; WP0 quality language","Process item; sponsor to confirm gate status.","Complete Gate 3 and file evidence when budget allows."
"Q16","Contract Requirement","AI logic accurate traceable hazard-relevant","Filter entities match AI lists","Filtering discovery","Fail","Must Fix","Lists only subset of measures","N/A","Partially by design","RAG returns top-K chunks not full database; Options Table is canonical for all measures; spec emphasises situation matching not enumeration.","Prompt improvements possible for redirect to Options Table.","Retrieval limits in chat-api.ts; handbook options page","In scope for intelligent search; not full enumeration without UI.","Wording in AI responses when user asks for full catalogue."
"Q17","handbook brief","Build Brief example","Bespoke brief vs example; timeout","Filtering discovery","Fail","Must Fix","Example returns on nav; 12s timeout","Repro steps in Loren table","Fixed","Nav Build Brief href includes collected ids; AI_TIMEOUT_MS raised to 30s.","HandbookNav brief href; ai-availability.ts","Staging brief flow with 4 cases","In scope.","None if retest passes."
"Q18","handbook cases","Case studies viewable after surfacing","View N cases works; new tab state","bugs","Fail","Must Fix","Link not clickable; new tab loses state","Repro in Loren table","Fixed","z-index on View N cases; new tab without query state is expected for SPA tray explain in UI if needed.","ChatPanel link z-index.","ChatPanel.tsx link to cases highlight query","In scope.","Consider small copy explaining open in same tab for full context."
"Q19","handbook guidance","Broken external content","HS2 Learning Legacy link","strategic","Fail","Must Fix","Third link broken","N/A","Refuted at time of audit","HTTP 200 verified on audit date; external dependency can still break transiently.","Recommend periodic link check job backlog.","curl or browser check learninglegacy.hs2.org.uk","W3 requested source.","Add automated link health monitor in phase 2."
"Q20","handbook","Confusing text directions","Contradictory copy","Accessibility UI","Fail","Must Fix","Browse all cases below at bottom","Scroll handbook","Fixed","Copy now directs user to search and filter above.","app/handbook page copy change.","Read hero section copy on handbook","Minor spec gap; UI copy.","None."
"Q21","handbook","Manual filtering Wales","Geography filter matches content","Filtering discovery","Fail","Must Fix","Wales filter empty or irrelevant","Wales filter","Fixed","Added Wales to ukApplicability where text supported Welsh applicability; substring Wales vs Welsh resolved.","seed-data.ts Wales tags on listed IDs.","Filter Wales on staging counts cases","In scope data quality.","Reviewer spot-check Welsh mentions in returned cases."
"Q22","handbook","Manual filtering cost ID_06","Cost band accuracy","Filtering discovery","Fail","Must Fix","100m plus band misleads vs PDF","N/A","Fixed","cost text corrected to adaptation-specific costs not separately reported; band remains large programme where appropriate check UI label.","seed-data.ts ID_06 cost fields.","Open ID_06 in UI and PDF side by side","Data quality in scope.","None if Loren accepts corrected labelling."
"Q23","handbook","UI layout intuitive","Multiple buttons paths","Accessibility UI","Minor","Backlog","Ask Hive two entry points etc","Visit handbook","Backlog acknowledged","Multiple discovery paths intentional; consolidation is phase 2 UX with users.","No forced change in WP1.","Design review notes","Subjective improvement.","DfT prioritised backlog."
"Q24","handbook cases","Transfer to other sectors","All sectors shown in panel","AI outputs","Minor","Backlog","Road missing vs omitted","Open ID_14","By design","Panel excludes home sector; Highways naming vs Road.","Optional explanatory note in UI backlog.","ApplicabilityPanel logic","Minor enhancement.","Small copy tweak when resourced."
"Q25","handbook options","Filtering adaptation options","Matrix counts under combined filters","Filtering discovery","Fail","Must Fix","Cell counts confusing cascading expectation","Repro in Loren table","Under review or design intent","Filters are independent by W3 note; if cascading is desired it is a scoped change not a silent bug fix.","Document actual behaviour in response; optional future cascade.","Options table code and W3 spec item 6","In scope table behaviour.","Align with DfT on cascade vs independent filters."
"Q26","General","Optimising UI cross-linking","Strategic enhancement","strategic","Minor","Backlog","Cross link case options brief","N/A","Backlog","Agreed post-beta design sprint.","No WP1 commitment.","Roadmap language","Out of strict defect scope.","Phase 2 budget discussion."
